,GOBP_RIBOSOME_BIOGENESIS,GeneID
210,RPP25,AMEX60DD041579
211,RPP30,AMEX60DD052558
212,RPP38,AMEX60DD022156
213,RPP40,AMEX60DD038278
214,RPS14,AMEX60DD018224
215,RPS15,AMEX60DD005901
216,RPS16,AMEX60DD007627
217,RPS17,AMEX60DD054322
218,RPS19,AMEX60DD018018
219,RPS21,AMEX60DD019263
220,RPS24,AMEX60DD001304
221,RPS25,AMEX60DD023486
222,RPS27,AMEX60DD042443
224,RPS28,AMEX60DD039975
225,RPS5,AMEX60DD038052
226,RPS6,AMEX60DD025339
227,RPS7,AMEX60DD030902
229,RPSA,AMEX60DD025112
230,RPUSD1,AMEX60DD020761
231,RPUSD2,AMEX60DD011506
232,RPUSD3,AMEX60DD023383
233,RPUSD4,AMEX60DD027958
235,RRP1,AMEX60DD046782
236,RRP12,AMEX60DD052854
238,RRP1B,AMEX60DD046782
239,RRP36,AMEX60DD036562
242,RRP8,AMEX60DD050060
243,RRP9,AMEX60DD024095
244,RRS1,AMEX60DD018791
245,RSL1D1,AMEX60DD025826
246,RSL24D1,AMEX60DD003671
247,SART1,AMEX60DD025017
248,SBDS,AMEX60DD054323
249,SDAD1,AMEX60DD043678
250,SHQ1,AMEX60DD023186
251,SIRT7,AMEX60DD031492
254,SRFBP1,AMEX60DD042851
255,SURF6,AMEX60DD050461
256,SUV39H1,AMEX60DD021085
257,TBL3,AMEX60DD020809
258,TENT4B,AMEX60DD015828
259,TFB1M,AMEX60DD034981
260,TFB2M,AMEX60DD035339
261,TRAF7,AMEX60DD020859
262,TRMT112,AMEX60DD025331
263,TRMT61B,AMEX60DD036314
264,TSC1,AMEX60DD050441
265,TSR1,AMEX60DD054892
266,TSR2,AMEX60DD025522
267,TSR3,AMEX60DD020658
268,URB1,AMEX60DD047323
269,URB2,AMEX60DD034662
270,USP36,AMEX60DD031421
271,UTP11,AMEX60DD005832
272,UTP14A,AMEX60DD037655
274,UTP15,AMEX60DD042415
275,UTP18,AMEX60DD016239
276,UTP20,AMEX60DD008353
277,UTP23,AMEX60DD040363
278,UTP25,AMEX60DD036022
280,UTP4,AMEX60DD017029
281,UTP6,AMEX60DD031058
282,VCX,AMEX60DD013004
283,WBP11,AMEX60DD030518
284,WDR12,AMEX60DD054999
285,WDR18,AMEX60DD013590
286,WDR3,AMEX60DD021690
287,WDR36,AMEX60DD042741
288,WDR43,AMEX60DD036313
290,WDR55,AMEX60DD030271
291,WDR74,AMEX60DD025355
292,WDR75,AMEX60DD055176
294,XRCC5,AMEX60DD056208
295,XRN2,AMEX60DD035476
296,YBEY,AMEX60DD055531
297,YTHDF2,AMEX60DD039808
299,ZNF622,AMEX60DD038902
300,ZNF658,AMEX60DD012442
301,ZNHIT3,AMEX60DD054135
302,ZNHIT6,AMEX60DD019009
